epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.67,1.70616,3.45521,1.61079,0.72166,0.69423,0.71593,0.47002,1.1603,1.57841,1.16061,0.000414552,0.000414552,0.000414552
2,341.751,1.06217,1.58252,1.15053,0.78869,0.73118,0.77144,0.548,1.00949,1.25197,1.10655,0.00081476,0.00081476,0.00081476
3,620.184,0.95788,1.21838,1.11072,0.82964,0.75379,0.83651,0.57845,1.01915,1.03674,1.09808,0.00119847,0.00119847,0.00119847
4,802.628,0.96599,1.14593,1.11295,0.77471,0.78138,0.83798,0.60332,0.98578,1.00746,1.12117,0.00117575,0.00117575,0.00117575
5,1049.22,0.95309,1.13774,1.14118,0.78121,0.73436,0.79486,0.58936,0.92372,0.99851,1.06753,0.001151,0.001151,0.001151
6,1308.36,0.90679,1.02675,1.09171,0.85992,0.77754,0.81815,0.59006,0.94311,1.02985,1.10657,0.00112625,0.00112625,0.00112625
7,1543.76,0.87501,0.99645,1.07936,0.86233,0.77894,0.86559,0.61546,0.89217,0.91024,1.07773,0.0011015,0.0011015,0.0011015
8,1789.28,0.89199,1.02436,1.10742,0.82002,0.80534,0.86667,0.65827,0.87311,0.81999,1.04521,0.00107675,0.00107675,0.00107675
9,2081.17,0.86021,0.91228,1.06819,0.84097,0.80574,0.88365,0.67158,0.87387,0.81209,1.06516,0.001052,0.001052,0.001052
10,2325.52,0.81256,0.89147,1.05874,0.80206,0.80369,0.84273,0.62572,0.87663,0.87025,1.04266,0.00102725,0.00102725,0.00102725
11,2563.12,0.80477,0.87228,1.04475,0.84252,0.84345,0.89993,0.67497,0.86647,0.7618,1.04304,0.0010025,0.0010025,0.0010025
12,2812.77,0.82377,0.83047,1.05409,0.9148,0.8291,0.91262,0.68939,0.83087,0.71933,1.02805,0.00097775,0.00097775,0.00097775
13,3052.39,0.81043,0.7855,1.04867,0.85567,0.78262,0.88365,0.67221,0.82508,0.74561,1.01341,0.000953,0.000953,0.000953
14,3334.23,0.77475,0.78573,1.02189,0.88012,0.79406,0.88284,0.69802,0.77973,0.71731,1.00955,0.00092825,0.00092825,0.00092825
15,3578.51,0.74646,0.78669,1.01458,0.85816,0.88753,0.91354,0.6983,0.80317,0.65879,1.00682,0.0009035,0.0009035,0.0009035
16,3819.38,0.75385,0.71805,1.00137,0.86325,0.89668,0.92297,0.71352,0.79507,0.63382,1.00069,0.00087875,0.00087875,0.00087875
17,4066.52,0.73568,0.70113,0.9879,0.8865,0.8748,0.91949,0.71616,0.79185,0.65162,0.98782,0.000854,0.000854,0.000854
18,4376.56,0.72902,0.65688,0.98257,0.8715,0.85996,0.90964,0.70346,0.78967,0.68108,0.98673,0.00082925,0.00082925,0.00082925
19,4666.21,0.72564,0.66441,1.00802,0.91256,0.89276,0.91941,0.71846,0.77393,0.63037,0.98815,0.0008045,0.0008045,0.0008045
20,4842.23,0.70882,0.66977,0.97566,0.89541,0.86444,0.93162,0.74321,0.7397,0.63289,0.97682,0.00077975,0.00077975,0.00077975
21,5580.55,0.69402,0.6506,0.97798,0.94639,0.8786,0.94827,0.75322,0.74415,0.54617,0.97967,0.000755,0.000755,0.000755
22,5823.85,0.68466,0.60154,0.95752,0.90077,0.88344,0.92435,0.73544,0.74649,0.5998,0.96684,0.00073025,0.00073025,0.00073025
23,6089.27,0.67347,0.60758,0.98956,0.91709,0.88616,0.93578,0.73768,0.75455,0.58548,0.98475,0.0007055,0.0007055,0.0007055
24,6327.58,0.68183,0.60585,0.99246,0.94874,0.85843,0.93545,0.7364,0.74955,0.57499,0.98852,0.00068075,0.00068075,0.00068075
25,6568.49,0.69091,0.63582,0.9933,0.90621,0.83165,0.89569,0.73013,0.75723,0.65926,0.98593,0.000656,0.000656,0.000656
26,6848.36,0.65099,0.59025,0.95407,0.90993,0.89513,0.92489,0.754,0.71793,0.59106,0.98207,0.00063125,0.00063125,0.00063125
27,7134.72,0.66211,0.53439,0.9492,0.9309,0.85183,0.93568,0.74905,0.75354,0.59404,0.97963,0.0006065,0.0006065,0.0006065
28,7375.82,0.66485,0.54175,0.96866,0.9055,0.90148,0.93427,0.74132,0.75105,0.59145,0.97236,0.00058175,0.00058175,0.00058175
29,7617.18,0.64322,0.51495,0.94682,0.94262,0.85654,0.92935,0.75259,0.74089,0.60061,0.96088,0.000557,0.000557,0.000557
30,7898.56,0.63673,0.51609,0.94031,0.95491,0.89278,0.95167,0.7707,0.70848,0.53551,0.94991,0.00053225,0.00053225,0.00053225
31,8184.83,0.61082,0.49112,0.93236,0.92183,0.90469,0.94672,0.77303,0.69929,0.55007,0.95544,0.0005075,0.0005075,0.0005075
32,8467.54,0.6346,0.50095,0.94929,0.9252,0.92842,0.96407,0.78139,0.68935,0.50413,0.95458,0.00048275,0.00048275,0.00048275
33,8752.91,0.61759,0.49993,0.94835,0.91802,0.89753,0.93961,0.77281,0.68378,0.55426,0.95425,0.000458,0.000458,0.000458
34,8997.03,0.6432,0.49445,0.9702,0.93138,0.89545,0.9375,0.77231,0.69243,0.53265,0.95749,0.00043325,0.00043325,0.00043325
35,20583.8,0.60138,0.44854,0.93899,0.9321,0.88977,0.94169,0.77381,0.70777,0.53638,0.95552,0.0004085,0.0004085,0.0004085
36,20742,0.60476,0.45116,0.94707,0.9251,0.88637,0.93592,0.76867,0.70121,0.55008,0.95955,0.00038375,0.00038375,0.00038375
37,20982.2,0.58331,0.44156,0.93898,0.91535,0.90231,0.93451,0.77411,0.70254,0.54315,0.96816,0.000359,0.000359,0.000359
38,21227.8,0.6058,0.45836,0.9363,0.92252,0.8953,0.94847,0.78729,0.67297,0.49486,0.94989,0.00033425,0.00033425,0.00033425
39,21477.2,0.58833,0.42764,0.92974,0.94171,0.92407,0.95337,0.78849,0.68549,0.4673,0.96321,0.0003095,0.0003095,0.0003095
40,21728.3,0.57732,0.42226,0.93283,0.94195,0.92164,0.9535,0.78338,0.69694,0.49929,0.96563,0.00028475,0.00028475,0.00028475
41,22006.5,0.53248,0.35793,0.90438,0.90379,0.92038,0.94135,0.77637,0.6903,0.50366,0.96773,0.00026,0.00026,0.00026
42,22258,0.54715,0.34845,0.88454,0.91614,0.90016,0.93758,0.78195,0.68543,0.53465,0.96418,0.00023525,0.00023525,0.00023525
43,22504.2,0.51838,0.33506,0.88378,0.92537,0.91359,0.95259,0.79257,0.6746,0.49392,0.94765,0.0002105,0.0002105,0.0002105
44,22799.7,0.51296,0.32731,0.89577,0.9347,0.89928,0.94506,0.78769,0.6617,0.50772,0.94587,0.00018575,0.00018575,0.00018575
45,23089,0.51611,0.31708,0.88465,0.90877,0.90275,0.94358,0.78487,0.67661,0.53121,0.95428,0.000161,0.000161,0.000161
46,23381.2,0.51015,0.30773,0.88531,0.93074,0.90551,0.94583,0.79249,0.6698,0.50921,0.95875,0.00013625,0.00013625,0.00013625
47,23670.3,0.49277,0.30221,0.87527,0.9359,0.90616,0.94813,0.79543,0.65939,0.49486,0.94616,0.0001115,0.0001115,0.0001115
48,23964.9,0.50473,0.30708,0.88457,0.93513,0.91561,0.94998,0.7992,0.64885,0.47652,0.9379,8.675e-05,8.675e-05,8.675e-05
49,24216.8,0.49851,0.29852,0.87768,0.92774,0.92261,0.94948,0.80151,0.65463,0.47594,0.94334,6.2e-05,6.2e-05,6.2e-05
50,24509.5,0.48119,0.29462,0.86254,0.93017,0.92261,0.95144,0.80141,0.65037,0.46738,0.94402,3.725e-05,3.725e-05,3.725e-05
